Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Lufttemperaturen fra kondensator	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav
	2208,000000	28,352812	-0,270979	-0,105458		27,756031	4,792636	24,523981	-3,969776	49,501119	26,319831	52,651066	6,406423	-0,113677
	2209,000000	28,274658	-0,290167	-0,103417		27,786345	4,802362	24,537974	-3,972662	49,514093	26,317466	52,613413	6,406423	-0,110504
	2210,000000	28,281761	-0,291255	-0,115851		27,781517	4,814607	24,529814	-3,945850	49,487931	26,296883	52,588923	6,411549	-0,111561
	2211,000000	28,281761	-0,271804	-0,097947		27,805410	4,837295	24,528336	-3,978730	49,507416	26,310918	52,557958	6,408132	-0,112619
	2212,000000	28,303073	-0,289163	-0,122323		27,805243	4,862284	24,526509	-3,975863	49,498579	26,298580	52,501877	6,408132	-0,111561
	2213,000000	28,253352	-0,282341	-0,114664		27,807422	4,867738	24,512473	-3,984779	49,512862	26,295370	52,469883	6,408132	-0,113677
	2214,000000	28,295968	-0,286656	-0,115905		27,817727	4,894924	24,510088	-3,976082	49,514452	26,291482	52,436503	6,411549	-0,111561
	2215,000000	28,317282	-0,277717	-0,131983		27,821734	4,917668	24,523876	-3,956498	49,509599	26,298828	52,418455	6,406423	-0,113677
	2216,000000	28,359919	-0,277217	-0,116944		27,836849	4,921833	24,507329	-3,973742	49,510536	26,289750	52,372776	6,404715	-0,112619
	2217,000000	28,537727	-0,281805	-0,110220		27,847192	4,940062	24,524891	-3,971445	49,511999	26,288169	52,355719	6,408132	-0,112619
	2218,000000	28,388352	-0,270585	-0,118066		27,855725	4,961647	24,535292	-3,962715	49,509465	26,295189	52,305974	6,408132	-0,110504
	2219,000000	28,730038	-0,286656	-0,118708		27,852178	4,992277	24,512747	-3,973699	49,520695	26,293690	52,269882	6,411549	-0,110504
	2220,000000	28,310177	-0,285158	-0,080708		27,862238	5,009992	24,498320	-3,974199	49,522930	26,308420	52,246803	6,411549	-0,111561
	2221,000000	28,352812	-0,257957	-0,106124		27,863564	5,010868	24,521217	-3,967047	49,533169	26,288506	52,198797	6,408132	-0,110504
	2222,000000	28,317282	-0,298970	-0,099933		27,866085	5,033572	24,512317	-3,967248	49,521594	26,313568	52,180432	6,409840	-0,111561
	2223,000000	28,324387	-0,267810	-0,112754		27,882670	5,049999	24,503696	-3,972848	49,531985	26,311914	52,148874	6,409840	-0,110504
	2224,000000	28,303073	-0,266722	-0,095597		27,868120	5,052865	24,495002	-3,973177	49,548476	26,307466	52,107723	6,409840	-0,111561
	2225,000000	28,189453	-0,288263	-0,104883		27,882301	5,073046	24,509962	-3,977448	49,540076	26,330387	52,079684	6,406423	-0,113677
	2226,000000	28,210750	-0,289005	-0,126952		27,890598	5,094818	24,511094	-3,947830	49,563382	26,335177	52,039287	6,409840	-0,110504
	2227,000000	28,132681	-0,289241	-0,113342		27,906193	5,103979	24,504983	-3,954323	49,552505	26,312858	52,008396	6,411549	-0,112619
	2228,000000	28,317282	-0,273843	-0,107083		27,906473	5,117792	24,511900	-3,954212	49,553153	26,322895	51,970254	6,409840	-0,113677
